video_id,title,video_type,source_channel,published_at,published_date,published_year,published_month,view_count,like_count,comment_count,duration,thumbnail
k-btwSxqS8I,I need that😎,기타(릴스),seventeen_official,2026-04-03T14:01:17Z,2026-04-03,2026,04,2014344,57726,617,0.3,https://i.ytimg.com/vi/k-btwSxqS8I/hqdefault.jpg
x-E3SqIZCmA,[하니왔쫑] I-GOYA in Germany | 정한이의 베를린 나들이🚶 | 내가 꽃이잖아🐝🌸,브이로그,seventeen_official,2026-04-03T13:03:57Z,2026-04-03,2026,04,194132,17934,528,12.5,https://i.ytimg.com/vi/x-E3SqIZCmA/hqdefault.jpg
MIrjt6nFbmM,[HOSHI TAMTAM] FASHION FILM 2026 S/S #2,솔로,seventeen_official,2026-04-02T11:09:56Z,2026-04-02,2026,04,120814,13314,104,0.38333333333333336,https://i.ytimg.com/vi/MIrjt6nFbmM/hqdefault.jpg
ifwlqAUHJA8,[HOSHI TAMTAM] 호랑이 운세 #5,솔로,seventeen_official,2026-04-02T11:00:55Z,2026-04-02,2026,04,63079,7104,79,0.7166666666666667,https://i.ytimg.com/vi/ifwlqAUHJA8/hqdefault.jpg
n5k0_F9iJJo,THE 8 Digital Single ‘四月的漂流 (April Drift)’ Concept Short,솔로,seventeen_official,2026-04-01T02:08:00Z,2026-04-01,2026,04,100561,16720,1038,3.75,https://i.ytimg.com/vi/n5k0_F9iJJo/hqdefault.jpg
_7ZKMRmbVRg,[HOSHI TAMTAM] 호랑이 운세 #4,솔로,seventeen_official,2026-04-01T11:00:39Z,2026-04-01,2026,04,63324,7599,86,0.4166666666666667,https://i.ytimg.com/vi/_7ZKMRmbVRg/hqdefault.jpg
K702K7ZtWQQ,[HOSHI TAMTAM] FASHION FILM 2026 S/S #1,솔로,seventeen_official,2026-04-01T11:09:54Z,2026-04-01,2026,04,91241,10301,105,0.35,https://i.ytimg.com/vi/K702K7ZtWQQ/hqdefault.jpg
vt9jlGwUtKM,92분 동안 먹기만 하는 세븐틴 먹방 모음😋ㅣ#꼬잉집 EP.3,기타(릴스),seventeen_official,2026-04-01T11:59:51Z,2026-04-01,2026,04,439321,17415,449,92.66666666666667,https://i.ytimg.com/vi/vt9jlGwUtKM/hqdefault.jpg
aCa0C6C-Dlg,"[HOSHI TAMTAM] 호시 ‘아기자기’ 비하인드 (HOSHI's 'Baby, Honey' Recording & Video Shoot Sketch)",SVT Record,seventeen_official,2026-03-31T09:15:01Z,2026-03-31,2026,03,49824,6775,301,13.833333333333334,https://i.ytimg.com/vi/aCa0C6C-Dlg/hqdefault.jpg
5A7qyhj-HjE,SEVENTEEN (세븐틴) 'Tiny Light' Official MV,MV,seventeen_official,2026-03-29T15:00:01Z,2026-03-29,2026,03,748330,78611,2454,3.5,https://i.ytimg.com/vi/5A7qyhj-HjE/hqdefault.jpg
